email,domain,breach,breach_date,attack_type,data_exposed,password_hint,password_exposed
security@adobe.com,adobe.com,Adobe,2013-02-10,Web Vulnerability,Emails+Phone Numbers,***X93,Yes
support@linkedin.com,linkedin.com,LinkedIn,2021-06-30,Unauthorized Access,Public Profile Data,Not Available,No
security@adobe.com,adobe.com,Adobe,2020-05-15,Unauthorized Access,Emails+Phone Numbers,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2015-11-13,Unauthorized Access,Usernames+Passwords,Not Available,No
contact@twitter.com,twitter.com,Twitter,2020-07-26,Database Leak,Usernames+Passwords,Not Available,No
admin@equifax.com,equifax.com,Equifax,2019-04-23,Web Vulnerability,Personal Information,***9ZA,Yes
support@equifax.com,equifax.com,Equifax,2024-09-27,Phishing,Emails+Phone Numbers,Not Available,No
security@linkedin.com,linkedin.com,LinkedIn,2022-05-17,Phishing,Emails+Phone Numbers,***ces,Yes
admin@linkedin.com,linkedin.com,LinkedIn,2021-11-01,Insider Leak,Public Profile Data,***YlU,Yes
dev@facebook.com,facebook.com,Facebook,2019-08-17,Credential Stuffing,Security Questions,***RSX,Yes
info@marriott.com,marriott.com,Marriott,2022-06-06,Social Engineering,Emails+Passwords,***VZw,Yes
dev@dropbox.com,dropbox.com,Dropbox,2018-04-19,Phishing,Emails+Phone Numbers,***vFs,Yes
contact@twitter.com,twitter.com,Twitter,2023-02-19,Phishing,Public Profile Data,Not Available,No
admin@dropbox.com,dropbox.com,Dropbox,2018-01-18,Web Vulnerability,Public Profile Data,***89X,Yes
employee@twitter.com,twitter.com,Twitter,2014-06-22,Unauthorized Access,Personal Information,Not Available,No
admin@twitter.com,twitter.com,Twitter,2016-10-31,Social Engineering,Emails+Phone Numbers,***dzy,Yes
dev@canva.com,canva.com,Canva,2021-08-13,Social Engineering,Personal Information,***wfA,Yes
info@twitter.com,twitter.com,Twitter,2014-01-22,Web Vulnerability,Personal Information,***qPj,Yes
employee@marriott.com,marriott.com,Marriott,2020-07-02,Insider Leak,Public Profile Data,Not Available,No
user@dropbox.com,dropbox.com,Dropbox,2016-04-09,Unauthorized Access,Emails+Phone Numbers,Not Available,No
info@yahoo.com,yahoo.com,Yahoo,2021-04-28,Insider Leak,Personal Information,Not Available,No
security@facebook.com,facebook.com,Facebook,2015-03-15,Unauthorized Access,Usernames+Passwords,***Wpp,Yes
dev@canva.com,canva.com,Canva,2013-08-17,Web Vulnerability,Public Profile Data,Not Available,No
dev@dropbox.com,dropbox.com,Dropbox,2014-10-09,Database Leak,Personal Information,***pDN,Yes
employee@canva.com,canva.com,Canva,2016-05-05,Social Engineering,Emails+Phone Numbers,Not Available,No
admin@marriott.com,marriott.com,Marriott,2020-04-12,Phishing,Personal Information,***tuV,Yes
user@twitter.com,twitter.com,Twitter,2021-02-06,Phishing,Security Questions,Not Available,No
support@marriott.com,marriott.com,Marriott,2024-12-24,API Exploit,Security Questions,Not Available,No
employee@adobe.com,adobe.com,Adobe,2016-01-14,Credential Stuffing,Security Questions,Not Available,No
security@adobe.com,adobe.com,Adobe,2017-02-23,Social Engineering,Emails+Phone Numbers,***E1O,Yes
contact@twitter.com,twitter.com,Twitter,2023-03-23,API Exploit,Security Questions,Not Available,No
contact@marriott.com,marriott.com,Marriott,2024-07-15,API Exploit,Public Profile Data,***SfB,Yes
employee@yahoo.com,yahoo.com,Yahoo,2017-10-01,API Exploit,Usernames+Passwords,***ko7,Yes
info@marriott.com,marriott.com,Marriott,2016-08-04,API Exploit,Personal Information,***Kga,Yes
admin@adobe.com,adobe.com,Adobe,2021-02-19,Web Vulnerability,Public Profile Data,Not Available,No
support@dropbox.com,dropbox.com,Dropbox,2022-05-09,Insider Leak,Public Profile Data,Not Available,No
dev@twitter.com,twitter.com,Twitter,2024-10-01,Database Leak,Security Questions,Not Available,No
employee@equifax.com,equifax.com,Equifax,2024-11-14,Social Engineering,Personal Information,Not Available,No
admin@dropbox.com,dropbox.com,Dropbox,2018-02-17,Insider Leak,Security Questions,Not Available,No
dev@adobe.com,adobe.com,Adobe,2020-04-15,Unauthorized Access,Personal Information,***LZI,Yes
contact@marriott.com,marriott.com,Marriott,2023-11-09,Database Leak,Usernames+Passwords,Not Available,No
contact@yahoo.com,yahoo.com,Yahoo,2016-02-01,Social Engineering,Emails+Phone Numbers,***AIA,Yes
support@linkedin.com,linkedin.com,LinkedIn,2024-11-11,Unauthorized Access,Emails+Phone Numbers,Not Available,No
admin@twitter.com,twitter.com,Twitter,2016-11-20,API Exploit,Usernames+Passwords,Not Available,No
info@twitter.com,twitter.com,Twitter,2022-06-17,Credential Stuffing,Public Profile Data,***kRu,Yes
support@adobe.com,adobe.com,Adobe,2013-12-11,Credential Stuffing,Emails+Phone Numbers,***0Ts,Yes
security@twitter.com,twitter.com,Twitter,2017-12-05,Database Leak,Usernames+Passwords,***kyP,Yes
admin@yahoo.com,yahoo.com,Yahoo,2024-04-26,API Exploit,Emails+Passwords,Not Available,No
info@canva.com,canva.com,Canva,2017-03-02,Web Vulnerability,Security Questions,Not Available,No
info@marriott.com,marriott.com,Marriott,2024-09-05,Credential Stuffing,Public Profile Data,Not Available,No
support@linkedin.com,linkedin.com,LinkedIn,2015-07-14,Credential Stuffing,Security Questions,***eGv,Yes
security@canva.com,canva.com,Canva,2021-09-16,Insider Leak,Emails+Phone Numbers,***ZOv,Yes
support@dropbox.com,dropbox.com,Dropbox,2022-02-06,Insider Leak,Security Questions,***woP,Yes
user@linkedin.com,linkedin.com,LinkedIn,2018-07-04,Unauthorized Access,Emails+Passwords,Not Available,No
admin@facebook.com,facebook.com,Facebook,2020-02-12,API Exploit,Security Questions,Not Available,No
dev@marriott.com,marriott.com,Marriott,2016-03-16,Credential Stuffing,Public Profile Data,Not Available,No
dev@myspace.com,myspace.com,MySpace,2016-11-28,Database Leak,Personal Information,***5Iv,Yes
user@equifax.com,equifax.com,Equifax,2024-09-24,Insider Leak,Emails+Phone Numbers,Not Available,No
admin@twitter.com,twitter.com,Twitter,2021-10-12,Unauthorized Access,Security Questions,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2017-06-17,Unauthorized Access,Public Profile Data,***FEc,Yes
info@linkedin.com,linkedin.com,LinkedIn,2022-09-20,Social Engineering,Emails+Phone Numbers,***0BH,Yes
contact@linkedin.com,linkedin.com,LinkedIn,2013-07-01,Web Vulnerability,Usernames+Passwords,***4b6,Yes
security@marriott.com,marriott.com,Marriott,2021-03-25,Phishing,Emails+Phone Numbers,Not Available,No
info@canva.com,canva.com,Canva,2022-04-03,Phishing,Emails+Phone Numbers,Not Available,No
dev@equifax.com,equifax.com,Equifax,2015-11-14,API Exploit,Personal Information,***1G1,Yes
info@marriott.com,marriott.com,Marriott,2019-03-06,Phishing,Emails+Phone Numbers,***Kcw,Yes
security@dropbox.com,dropbox.com,Dropbox,2021-03-03,Social Engineering,Emails+Passwords,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2016-03-26,Credential Stuffing,Emails+Phone Numbers,Not Available,No
info@facebook.com,facebook.com,Facebook,2013-05-28,Database Leak,Security Questions,Not Available,No
user@equifax.com,equifax.com,Equifax,2015-09-14,API Exploit,Public Profile Data,Not Available,No
admin@canva.com,canva.com,Canva,2024-09-18,Insider Leak,Usernames+Passwords,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2017-12-18,Insider Leak,Usernames+Passwords,Not Available,No
support@facebook.com,facebook.com,Facebook,2015-12-10,Credential Stuffing,Usernames+Passwords,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2022-10-15,Phishing,Security Questions,***7x7,Yes
employee@canva.com,canva.com,Canva,2013-04-24,Insider Leak,Public Profile Data,***uUM,Yes
support@facebook.com,facebook.com,Facebook,2021-05-31,Credential Stuffing,Personal Information,Not Available,No
dev@linkedin.com,linkedin.com,LinkedIn,2021-09-07,Social Engineering,Emails+Passwords,***8yo,Yes
support@yahoo.com,yahoo.com,Yahoo,2019-05-17,Phishing,Public Profile Data,Not Available,No
admin@adobe.com,adobe.com,Adobe,2016-11-18,Web Vulnerability,Emails+Phone Numbers,Not Available,No
user@facebook.com,facebook.com,Facebook,2021-09-21,API Exploit,Emails+Phone Numbers,***N9A,Yes
admin@marriott.com,marriott.com,Marriott,2018-05-14,Unauthorized Access,Emails+Passwords,***kja,Yes
security@linkedin.com,linkedin.com,LinkedIn,2024-09-21,Insider Leak,Usernames+Passwords,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2016-05-31,Insider Leak,Security Questions,Not Available,No
contact@linkedin.com,linkedin.com,LinkedIn,2018-02-09,Insider Leak,Emails+Passwords,Not Available,No
dev@dropbox.com,dropbox.com,Dropbox,2023-11-10,Web Vulnerability,Emails+Passwords,Not Available,No
admin@adobe.com,adobe.com,Adobe,2021-03-07,Unauthorized Access,Security Questions,***oNn,Yes
support@yahoo.com,yahoo.com,Yahoo,2017-06-20,Unauthorized Access,Security Questions,***ACB,Yes
admin@myspace.com,myspace.com,MySpace,2017-01-16,Credential Stuffing,Emails+Passwords,Not Available,No
security@twitter.com,twitter.com,Twitter,2014-11-05,Unauthorized Access,Emails+Passwords,***K1Z,Yes
user@linkedin.com,linkedin.com,LinkedIn,2014-06-04,Database Leak,Usernames+Passwords,Not Available,No
info@twitter.com,twitter.com,Twitter,2019-09-27,Phishing,Emails+Phone Numbers,***LaJ,Yes
admin@myspace.com,myspace.com,MySpace,2024-12-12,Social Engineering,Security Questions,Not Available,No
support@dropbox.com,dropbox.com,Dropbox,2014-09-08,Social Engineering,Emails+Phone Numbers,***xnI,Yes
dev@canva.com,canva.com,Canva,2016-09-19,Insider Leak,Security Questions,Not Available,No
dev@myspace.com,myspace.com,MySpace,2014-02-15,API Exploit,Personal Information,***lCB,Yes
dev@yahoo.com,yahoo.com,Yahoo,2019-04-07,API Exploit,Security Questions,***Ccy,Yes
info@twitter.com,twitter.com,Twitter,2017-07-16,Insider Leak,Personal Information,***jzC,Yes
contact@marriott.com,marriott.com,Marriott,2013-10-24,Database Leak,Emails+Phone Numbers,Not Available,No
support@myspace.com,myspace.com,MySpace,2014-09-18,Database Leak,Emails+Passwords,Not Available,No
admin@canva.com,canva.com,Canva,2017-10-16,Insider Leak,Personal Information,Not Available,No
contact@canva.com,canva.com,Canva,2019-09-24,Insider Leak,Usernames+Passwords,***NgX,Yes
user@myspace.com,myspace.com,MySpace,2017-12-14,API Exploit,Security Questions,***gqJ,Yes
employee@linkedin.com,linkedin.com,LinkedIn,2020-04-25,Insider Leak,Usernames+Passwords,Not Available,No
user@facebook.com,facebook.com,Facebook,2018-07-13,Phishing,Usernames+Passwords,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2020-08-28,Credential Stuffing,Emails+Phone Numbers,Not Available,No
support@myspace.com,myspace.com,MySpace,2016-06-06,Phishing,Usernames+Passwords,Not Available,No
dev@facebook.com,facebook.com,Facebook,2019-02-03,Insider Leak,Public Profile Data,Not Available,No
